Issue,Complaint
Flickering Lights,The flickering lights are making it hard to read and work in the apartment.
Flickering Lights,The hallway lights keep flickering and it's creating an unsafe environment.
Flickering Lights,The lights are flickering on and off throughout the day.
Flickering Lights,The flickering lights are making it hard to read and work in the apartment.
Flickering Lights,The hallway lights keep flickering and it's creating an unsafe environment.
Flickering Lights,The lights are flickering on and off throughout the day.
Flickering Lights,The flickering lights are making it hard to read and work in the apartment.
Flickering Lights,The hallway lights keep flickering and it's creating an unsafe environment.
Flickering Lights,The lights are flickering on and off throughout the day.
Flickering Lights,The flickering lights are making it hard to read and work in the apartment.
Flickering Lights,The hallway lights keep flickering and it's creating an unsafe environment.
Flickering Lights,The lights are flickering on and off throughout the day.
Flickering Lights,The flickering lights are making it hard to read and work in the apartment.
Flickering Lights,The hallway lights keep flickering and it's creating an unsafe environment.
Flickering Lights,The lights are flickering on and off throughout the day.
Flickering Lights,The flickering lights are making it hard to read and work in the apartment.
Flickering Lights,The hallway lights keep flickering and it's creating an unsafe environment.
Flickering Lights,The lights are flickering on and off throughout the day.
Flickering Lights,The flickering lights are making it hard to read and work in the apartment.
Flickering Lights,The hallway lights keep flickering and it's creating an unsafe environment.
Flickering Lights,The lights are flickering on and off throughout the day.
Flickering Lights,The flickering lights are making it hard to read and work in the apartment.
Flickering Lights,The hallway lights keep flickering and it's creating an unsafe environment.
Flickering Lights,The lights are flickering on and off throughout the day.
Flickering Lights,The flickering lights are making it hard to read and work in the apartment.
Flickering Lights,The hallway lights keep flickering and it's creating an unsafe environment.
Flickering Lights,The lights are flickering on and off throughout the day.
Flickering Lights,The flickering lights are making it hard to read and work in the apartment.
Flickering Lights,The hallway lights keep flickering and it's creating an unsafe environment.
Flickering Lights,The lights are flickering on and off throughout the day.
Flickering Lights,The flickering lights are making it hard to read and work in the apartment.
Flickering Lights,The hallway lights keep flickering and it's creating an unsafe environment.
Flickering Lights,The lights are flickering on and off throughout the day.
Flickering Lights,The flickering lights are making it hard to read and work in the apartment.
Flickering Lights,The hallway lights keep flickering and it's creating an unsafe environment.
